ID,Name,Price,Rating
AI-1777896006-328,ساعة سامسونج جالكسي واتش 5,279.99,4.5
AI-1777896006-109,أبل ووتش سيريز 9,399.0,4.8
AI-1777896009-367,سماعات أبل إيربودز برو,249.0,4.8
AI-1777896009-508,سماعات سوني WF-1000XM4,279.0,4.7
NPH-EXP-0005,ساعة أبل واتش ألترا 2,799,4.9
NPH-EXP-0006,ساعة سامسونج جالكسي ووتش 7,329,4.7
NPH-EXP-0007,ساعة Garmin Fenix 7X برو,899,4.8
NPH-EXP-0008,ساعة Fitbit Sense 2,249,4.5
NPH-EXP-0009,ساعة Amazfit GTR 4,179,4.6
NPH-EXP-0010,ساعة Fossil Gen 6,249,4.4
NPH-EXP-0011,ساعة Huawei Watch GT 4,229,4.6
NPH-EXP-0012,ساعة TicWatch Pro 5,299,4.5
NPH-EXP-0013,ساعة Galaxy Watch 6,249,4.7
NPH-EXP-0014,ساعة Apple Watch SE 2,249,4.6
NPH-EXP-0015,سماعات أبل إيربودز برو 2,249,4.9
NPH-EXP-0016,سماعات سامسونج جالكسي بودز 2 برو,189,4.7
NPH-EXP-0017,سماعات Sony WF-1000XM5,299,4.8
NPH-EXP-0018,سماعات Bose QuietComfort Ultra,299,4.7
NPH-EXP-0019,سماعات Jabra Elite 85t,179,4.6
NPH-EXP-0020,سماعات Anker Soundcore Space A40,79,4.5
NPH-EXP-0021,سماعات Sennheiser Momentum 4,349,4.8
NPH-EXP-0022,سماعات Beats Studio Pro,349,4.6
NPH-EXP-0023,سماعات Google Pixel Buds Pro,199,4.6
NPH-EXP-0024,سماعات OnePlus Buds Pro 2,149,4.5
NPH-EXP-0025,سماعات Sony WH-1000XM5,399,4.9
NPH-EXP-0026,سماعات Bose QuietComfort Ultra,429,4.8
NPH-EXP-0027,سماعات Apple AirPods Max,549,4.7
NPH-EXP-0028,سماعات Sennheiser Momentum 4,349,4.8
NPH-EXP-0029,سماعات Audio-Technica ATH-M50x,149,4.7
NPH-EXP-0030,سماعات JBL Tour One M2,299,4.6
NPH-EXP-0031,سماعات Beats Studio 3,279,4.5
